DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2007-2008 Regular Season,10/31/2007,Joe Smith,C,Chicago,New Jersey,R,23.0,2,6,0,0,2,2,3,2,5,1,5,1,1,1,6
2007-2008 Regular Season,10/31/2007,Thabo Sefolosha,SG,Chicago,New Jersey,R,10.7,1,3,0,1,2,2,1,0,1,2,4,0,2,0,4
2007-2008 Regular Season,10/31/2007,Andres Nocioni,SF,Chicago,New Jersey,R,24.1,4,12,1,5,0,2,1,4,5,2,4,0,1,1,9
2007-2008 Regular Season,10/31/2007,Chris Duhon,PG,Chicago,New Jersey,R,29.9,4,8,2,3,0,0,0,1,1,6,3,0,0,0,10
2007-2008 Regular Season,10/31/2007,Richard Jefferson,SF,New Jersey,Chicago,H,45.0,7,15,3,4,12,12,2,8,10,2,3,0,3,2,29
2007-2008 Regular Season,10/31/2007,Nenad Krstic,PF,New Jersey,Chicago,H,19.4,5,10,0,0,0,0,1,3,4,0,2,0,3,1,10
2007-2008 Regular Season,10/31/2007,Jason Collins,C,New Jersey,Chicago,H,25.9,0,0,0,0,0,0,1,1,2,0,5,0,0,0,0
2007-2008 Regular Season,10/31/2007,Vince Carter,SF,New Jersey,Chicago,H,46.0,6,21,0,6,12,12,2,7,9,6,2,2,4,2,24
2007-2008 Regular Season,10/31/2007,Jason Kidd,PG,New Jersey,Chicago,H,40.8,2,4,0,1,3,4,1,7,8,13,2,5,3,0,7
2007-2008 Regular Season,10/31/2007,Jamaal Magloire,C,New Jersey,Chicago,H,11.3,0,2,0,0,3,4,2,1,3,1,3,0,1,0,3
2007-2008 Regular Season,10/31/2007,Bostjan Nachbar,SF,New Jersey,Chicago,H,20.9,3,9,1,4,3,4,1,1,2,1,5,0,1,0,10
2007-2008 Regular Season,10/31/2007,Antoine Wright,SG,New Jersey,Chicago,H,27.9,8,14,4,7,1,1,1,2,3,1,5,0,1,2,21
2007-2008 Regular Season,10/31/2007,Darrell Armstrong,PG,New Jersey,Chicago,H,14.1,1,3,1,2,2,2,0,2,2,0,2,1,1,0,5
2007-2008 Regular Season,10/31/2007,Malik Allen,PF,New Jersey,Chicago,H,4.3,1,2,0,0,0,0,1,0,1,0,1,0,0,0,2
2007-2008 Regular Season,10/31/2007,Josh Boone,PF,New Jersey,Chicago,H,9.5,0,2,0,0,1,2,2,2,4,0,1,1,0,0,1
2007-2008 Regular Season,10/31/2007,Dirk Nowitzki,PF,Dallas,Cleveland,R,37.2,6,15,0,2,3,5,1,7,8,6,3,0,2,2,15
2007-2008 Regular Season,10/31/2007,Jerry Stackhouse,SG,Dallas,Cleveland,R,29.7,6,11,1,2,4,4,1,2,3,4,3,1,1,1,17
2007-2008 Regular Season,10/31/2007,DeSagana Diop,C,Dallas,Cleveland,R,37.3,4,7,0,0,0,0,2,9,11,1,2,0,3,4,8
2007-2008 Regular Season,10/31/2007,Eddie Jones,SG,Dallas,Cleveland,R,29.1,2,5,1,4,0,0,0,6,6,1,0,1,1,0,5
2007-2008 Regular Season,10/31/2007,Devin Harris,PG,Dallas,Cleveland,R,30.8,5,9,1,2,2,3,0,2,2,5,2,3,6,0,13
2007-2008 Regular Season,10/31/2007,Jason Terry,PG,Dallas,Cleveland,R,30.6,7,12,6,8,4,4,1,1,2,4,1,0,1,0,24
2007-2008 Regular Season,10/31/2007,Jose Juan Barea,PG,Dallas,Cleveland,R,4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,10/31/2007,Trenton Hassell,SG,Dallas,Cleveland,R,24.6,2,5,0,0,0,0,0,1,1,2,3,1,1,0,4
